frame_index,time,road,vehicle_class,vehicle_id,speed,interval_time,lane
5948,237.92,R,car,2787,67.5,1.44,m
5954,238.16,R,car,2788,71.05263157894737,1.36,l
5997,239.88,R,car,2799,103.84615384615384,1.96,m
6021,240.84,R,car,2802,96.42857142857142,2.68,l
6023,240.92,L,car,2762,71.05263157894737,7.32,r
6108,244.32,R,truck,2818,51.92307692307692,4.44,m
6110,244.4,L,car,2832,270.0,3.56,l
6128,245.12,R,car,2831,84.375,0.72,l
6140,245.6,R,truck,2838,103.84615384615384,1.28,m
6168,246.72,R,car,2848,84.375,1.12,m
6174,246.96,R,car,2849,84.375,1.84,l
6183,247.32,L,truck,2856,96.42857142857142,0.6,m
6216,248.64,R,car,2866,84.375,1.32,m
6247,249.88,R,car,2882,84.375,2.92,l
6272,250.88,R,car,2898,84.375,9.96,r
6285,251.4,R,truck,2904,71.05263157894737,2.76,m
6309,252.36,R,car,2905,75.0,0.96,m
6310,252.4,R,car,2906,84.375,2.52,l
6311,252.44,R,car,2912,79.41176470588235,1.56,r
6332,253.28,R,car,2918,79.41176470588235,0.88,l
6335,253.4,R,car,2917,71.05263157894737,1.04,m
6339,253.56,L,truck,2913,96.42857142857142,1.12,r
6339,253.56,L,bus,2934,112.5,0.0,r
6351,254.04,R,car,2919,79.41176470588235,0.76,l
6361,254.44,L,car,2942,270.0,1.04,m
6367,254.68,R,car,2941,84.375,1.12,r
6373,254.92,R,car,2945,103.84615384615384,0.48,m
6388,255.52,R,car,2950,90.0,1.48,l
6398,255.92,L,car,2937,103.84615384615384,1.0,m
6400,256.0,R,car,2957,75.0,0.08,m
6435,257.4,L,car,3000,270.0,1.4,m
6436,257.44,R,car,2992,84.375,1.92,l
6443,257.72,R,truck,3012,96.42857142857142,3.04,r
6475,259.0,R,car,3024,90.0,1.6,m
6482,259.28,R,car,3021,71.05263157894737,1.84,l
6496,259.84,L,truck,2993,103.84615384615384,2.12,r
6499,259.96,R,car,3038,79.41176470588235,0.96,m
6557,262.28,R,car,3072,90.0,2.32,m
6558,262.32,L,truck,3060,96.42857142857142,2.48,r
6562,262.48,R,bus,3067,67.5,0.16,r
6562,262.48,R,car,3073,84.375,3.2,l
6608,264.32,R,car,3084,96.42857142857142,2.04,m
6641,265.64,L,truck,3089,103.84615384615384,1.32,m
6670,266.8,R,car,3107,90.0,4.32,l
6679,267.16,L,car,3114,450.0,0.36,l
6717,268.68,L,car,3113,122.72727272727273,3.04,m
6724,268.96,R,car,3122,90.0,1.8,l
6742,269.68,R,car,3133,96.42857142857142,1.0,m
6750,270.0,R,car,3139,112.5,7.52,r
6806,272.24,R,car,3149,96.42857142857142,3.28,l
6808,272.32,R,car,3154,96.42857142857142,2.32,r
6860,274.4,R,truck,3195,96.42857142857142,4.72,m
6879,275.16,R,car,3199,103.84615384615384,2.92,l
6886,275.44,L,car,3196,135.0,1.04,m
6890,275.6,R,car,3207,84.375,0.16,m
6920,276.8,L,car,3205,103.84615384615384,4.48,r
6930,277.2,R,car,3227,103.84615384615384,1.6,m
6943,277.72,R,car,3247,84.375,2.56,l
6969,278.76,R,truck,3239,56.25,1.96,r
7019,280.76,R,truck,3264,122.72727272727273,3.04,l
7089,283.56,L,truck,3265,79.41176470588235,6.36,m
7096,283.84,L,truck,3293,135.0,5.08,r
7104,284.16,L,truck,3298,122.72727272727273,0.32,r
7149,285.96,L,truck,3292,75.0,2.4,m
7189,287.56,R,car,3321,112.5,6.8,l
7214,288.56,R,car,3325,75.0,2.6,m
7215,288.6,L,truck,3319,79.41176470588235,0.04,m
7280,291.2,R,car,3350,122.72727272727273,3.64,l
7301,292.04,L,bus,3351,84.375,3.44,m
