frame_index,time,road,lane,vehicle_class,vehicle_id
61432,2457.28,R,r,car,31456
62245,2489.8,R,r,car,31899
63012,2520.48,R,r,bus,32182
63125,2525,R,r,truck,32213
63301,2532.04,R,m,truck,32375
63304,2532.16,R,r,truck,32386
63526,2541.04,R,r,truck,32592
63554,2542.16,R,l,truck,32619
63691,2547.64,L,r,truck,32668
63781,2551.24,R,r,car,32750
63958,2558.32,R,m,car,32868
64355,2574.2,L,r,truck,33058
64511,2580.44,R,m,car,33146
64589,2583.56,L,r,truck,33139
64903,2596.12,L,l,truck,33341
64936,2597.44,R,m,truck,33348
65135,2605.4,R,m,car,33492
65143,2605.72,L,r,car,33416
65368,2614.72,R,m,truck,33570
65435,2617.4,L,l,car,33569
65460,2618.4,L,r,car,33592
65725,2629,L,r,bus,33748
65853,2634.12,L,r,car,33758
65900,2636,L,l,car,33822
66441,2657.64,R,m,truck,34005
66632,2665.28,R,r,car,34088
66736,2669.44,R,l,car,34147
67081,2683.24,R,l,car,34293
67162,2686.48,R,m,car,34348
67414,2696.56,R,m,car,34437
67557,2702.28,L,r,car,34542
67909,2716.36,R,m,car,34702
68835,2753.4,L,r,truck,35119
68869,2754.76,R,m,car,35163
68869,2754.76,R,l,truck,35174
68987,2759.48,R,m,car,35250
69085,2763.4,R,m,car,35308
69111,2764.44,R,l,bus,35324
69125,2765,R,r,car,35316
69655,2786.2,R,r,car,35587
70099,2803.96,L,l,car,35825
70133,2805.32,R,m,truck,35835
70199,2807.96,L,r,truck,35800
70506,2820.24,R,m,car,35950
71201,2848.04,R,m,truck,36208
71427,2857.08,L,l,truck,36290
71431,2857.24,L,m,truck,36346
71501,2860.04,R,l,car,36417
72372,2894.88,L,r,truck,36869
72697,2907.88,R,r,truck,37022
72946,2917.84,L,r,truck,37150
73023,2920.92,R,r,car,37188
73038,2921.52,R,m,truck,37216
73230,2929.2,R,r,truck,37305
73435,2937.4,R,r,truck,37417
73750,2950,R,r,truck,37657
73958,2958.32,R,r,car,37730
74014,2960.56,L,r,truck,37779
74074,2962.96,R,r,truck,37815
74086,2963.44,R,r,truck,37827
74586,2983.44,R,l,truck,38025
74608,2984.32,R,r,truck,38032
74726,2989.04,R,m,truck,38080
75550,3022,L,r,truck,38476
75582,3023.28,R,m,truck,38566
75592,3023.68,L,r,truck,38492
75634,3025.36,L,r,truck,38549
76109,3044.36,L,r,truck,38853
76456,3058.24,L,r,truck,38994
76501,3060.04,L,r,truck,39076
76618,3064.72,L,r,truck,39162
76879,3075.16,R,r,bus,39365
77128,3085.12,L,r,truck,39578
77726,3109.04,L,r,truck,39881
77821,3112.84,R,l,truck,39990
77830,3113.2,R,r,truck,39998
78307,3132.28,R,m,truck,40157
