frame_index,time,road,lane,vehicle_class,vehicle_id,event_type,duration
40073,1602.92,L,r,car,19149,overdrive,"24,36"
40077,1603.08,L,r,truck,19152,overdrive,"24,36"
40103,1604.12,R,m,car,19156,cruise,"24,36"
40229,1609.16,L,m,car,19231,overdrive,"24,36"
40263,1610.52,R,m,car,19256,overdrive,"24,36"
40517,1620.68,L,m,car,19336,overdrive,"24,36"
40772,1630.88,R,r,truck,19454,cruise,"24,36"
41020,1640.8,R,m,truck,19617,cruise,"24,36"
41220,1648.8,L,l,car,19799,overdrive,"24,36"
41501,1660.04,L,m,truck,20009,overdrive,"24,36"
41599,1663.96,R,l,car,20053,overdrive,"24,36"
41705,1668.2,R,l,car,20121,overdrive,"24,36"
41773,1670.92,R,l,car,20155,overdrive,"24,36"
41937,1677.48,R,l,car,20237,overdrive,"24,36"
42075,1683,R,m,car,20325,overdrive,"24,36"
42093,1683.72,L,m,car,20327,overdrive,"24,36"
42224,1688.96,L,m,car,20389,overdrive,"24,36"
42427,1697.08,L,m,car,20562,overdrive,"24,36"
42587,1703.48,L,r,truck,20639,cruise,"24,36"
42678,1707.12,L,r,car,20691,overdrive,"24,36"
42688,1707.52,L,l,car,20697,overdrive,"24,36"
42782,1711.28,L,m,car,20756,overdrive,"24,36"
42864,1714.56,L,m,truck,20827,overdrive,"24,36"
42894,1715.76,L,m,car,20855,overdrive,"24,36"
42950,1718,L,l,car,20881,overdrive,"24,36"
43000,1720,L,m,car,20902,overdrive,"24,36"
43077,1723.08,L,m,car,20944,overdrive,"24,36"
43138,1725.52,L,r,bus,20985,overdrive,"24,36"
43237,1729.48,L,m,car,21011,overdrive,"24,36"
43396,1735.84,R,r,truck,21049,cruise,"24,36"
43450,1738,R,r,car,21079,cruise,"24,36"
43631,1745.24,L,m,car,21155,overdrive,"24,36"
43917,1756.68,L,l,car,21271,overdrive,"24,36"
43983,1759.32,R,r,car,21301,cruise,"24,36"
44026,1761.04,R,r,truck,21352,overdrive,"24,36"
44035,1761.4,L,m,car,21335,overdrive,"24,36"
44037,1761.48,L,r,truck,21337,overdrive,"24,36"
44093,1763.72,L,l,car,21379,overdrive,"24,36"
44270,1770.8,L,m,truck,21468,overdrive,"24,36"
44310,1772.4,R,m,truck,21517,overdrive,"24,36"
44546,1781.84,L,m,car,21634,overdrive,"24,36"
44759,1790.36,L,m,truck,21709,overdrive,"24,36"
44804,1792.16,R,r,car,21747,cruise,"24,36"
